Unnamed,continent,country,cases.active,cases.critical,cases.recovered,cases.total,deaths.total,population(k),test.total (k),date,time_hms
0,Asia,China,118977.0,,379053.0,503302,5272.0,1448471.4,160000.0,2026-01-22,05:00:13
1,Africa,Saint-Helena,2164.0,,2.0,2166,,6.115,,2026-01-22,05:00:12
2,South-America,Falkland-Islands,0.0,,1930.0,1930,,3.539,8.632,2026-01-22,05:00:12
3,North-America,Montserrat,19.0,,1376.0,1403,8.0,4.965,17.762,2026-01-22,05:00:12
4,,Diamond-Princess,0.0,,699.0,712,13.0,,,2026-01-22,05:00:12
5,Europe,Vatican-City,0.0,,29.0,29,,0.799,,2026-01-22,05:00:12
6,Africa,Western-Sahara,0.0,,9.0,10,1.0,626.161,,2026-01-22,05:00:12
7,Oceania,Nauru,45.0,,5347.0,5393,1.0,10.903,20.509,2026-01-22,05:00:12
8,Africa,Chad,2633.0,,4874.0,7701,194.0,17413.58,191.341,2026-01-22,05:00:12
9,Oceania,Wallis-and-Futuna,3104.0,,438.0,3550,8.0,10.982,20.508,2026-01-22,05:00:12
10,North-America,St-Barth,,,,5507,6.0,9.945,78.646,2026-01-22,05:00:12
11,North-America,Saint-Kitts-and-Nevis,0.0,,6559.0,6607,48.0,53.871,126.958,2026-01-22,05:00:12
12,Oceania,Tokelau,80.0,,,80,,1.378,,2026-01-22,05:00:12
13,Oceania,Kiribati,2358.0,3.0,2703.0,5085,24.0,123.419,,2026-01-22,05:00:12
14,Africa,Sierra-Leone,,,,7779,126.0,8306.436,259.958,2026-01-22,05:00:12
15,North-America,British-Virgin-Islands,,,,7392,64.0,30.596,107.339,2026-01-22,05:00:12
16,Oceania,Cook-Islands,51.0,,7150.0,7203,2.0,17.571,19.69,2026-01-22,05:00:12
17,Africa,Sao-Tome-and-Principe,13.0,,6685.0,6778,80.0,227.679,29.6,2026-01-22,05:00:12
18,North-America,Turks-and-Caicos,3.0,4.0,6709.0,6752,40.0,39.741,616.788,2026-01-22,05:00:12
19,Oceania,Palau,4.0,,6276.0,6290,10.0,18.233,71.434,2026-01-22,05:00:12
20,North-America,Anguilla,,,,3904,12.0,15.23,51.382,2026-01-22,05:00:12
21,North-America,Saint-Pierre-Miquelon,1001.0,,2449.0,3452,2.0,5.759,25.4,2026-01-22,05:00:12
22,Oceania,Tuvalu,,,,2943,1.0,12.066,,2026-01-22,05:00:12
23,Oceania,Niue,3.0,,1056.0,1059,,1.622,,2026-01-22,05:00:12
24,Asia,Tajikistan,397.0,,17264.0,17786,125.0,9957.464,,2026-01-22,05:00:11
25,Africa,Djibouti,74.0,,15427.0,15690,189.0,1016.097,305.941,2026-01-22,05:00:11
26,North-America,Greenland,9189.0,4.0,2761.0,11971,21.0,56.973,164.926,2026-01-22,05:00:11
